,conclusion_type,is_single_premise,parent_domain,llm_reasoner,tutorial_prompt
20,General,True,living things,gpt-4-0314-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the limited information provided, I would say the likelihood of the claim being true is 30. This is because we only have information about one fruit (papayas) having property P, and there are many different types of fruits with varying properties.'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the limited information provided, I would say the likelihood of the claim being true is 30. This is because we only have information about one fruit (apples) having property P, and there are many different types of fruits with varying properties.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
21,General,True,objects,gpt-4-0314-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '40'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
22,General,True,living things,text-davinci-003-openai-completion,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Papayas have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


50

Argument A:
Fact - Apples have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


75

Now that you've practiced you're ready to continue on to the main trials for this section.

"
23,General,True,objects,text-davinci-003-openai-completion,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Papayas have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


50

Argument A:
Fact - Apples have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


75

Now that you've practiced you're ready to continue on to the main trials for this section.

"
24,Specific,False,living things,command-cohere-completion,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

0

Now that you've practiced you're ready to continue on to the main trials for this section.

"
25,Specific,False,objects,command-cohere-completion,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

0

Now that you've practiced you're ready to continue on to the main trials for this section.

"
26,Specific,False,living things,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: It is impossible to determine the likelihood of the claim being true based on the given facts alone. The fact that lemons and limes have property P does not necessarily mean that cherries also have property P. Therefore, I would give a likelihood of 50 out of 100, indicating that the claim could be true or false.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: It is impossible to determine the likelihood of the claim being true based on the given facts alone. The fact that bananas and watermelons have property P does not necessarily mean that cherries also have property P. Therefore, I would give a likelihood of 50 out of 100, indicating that the claim could be true or false.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
27,Specific,False,objects,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: It is impossible to determine the likelihood of the claim being true based on the given facts alone.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: It is impossible to determine the likelihood of the claim being true based on the given facts alone.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
28,Specific,False,living things,gpt-3.5-turbo-0613-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '100. Given that both lemons and limes have property P, it is highly likely that cherries also have property P.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '0. Given that bananas and watermelons have property P, it does not provide any evidence or support for the claim that cherries have property P. The likelihood of the claim being true based on the given facts is very low.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
29,Specific,False,objects,gpt-3.5-turbo-0613-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '100. Given that both lemons and limes have property P, it is highly likely that cherries also have property P.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '0. Given that bananas and watermelons have property P, it does not provide any evidence or support for the claim that cherries have property P. The likelihood of the claim being true based on the given facts is very low.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
30,Specific,False,living things,gpt-4-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '70'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
31,Specific,False,objects,gpt-4-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '70'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
32,Specific,False,living things,gpt-4-0314-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '70'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
33,Specific,False,objects,gpt-4-0314-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '70'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
34,Specific,False,living things,text-davinci-003-openai-completion,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


Answer: 60

Now that you've practiced you're ready to continue on to the main trials for this section.

"
35,Specific,False,objects,text-davinci-003-openai-completion,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


80

Now that you've practiced you're ready to continue on to the main trials for this section.

"
36,Specific,True,living things,command-cohere-completion,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

0

Now that you've practiced you're ready to continue on to the main trials for this section.

"
37,Specific,True,objects,command-cohere-completion,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

0

Now that you've practiced you're ready to continue on to the main trials for this section.

"
38,Specific,True,living things,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Blackberries have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: 75. Since blackberries have property P, and raspberries are closely related to blackberries, it is likely that raspberries also have property P. However, without additional information, we cannot be completely certain.'}, {'role': 'user', 'content': 'Argument A:\nFact - Pineapples have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: 0. Pineapples and raspberries are not closely related, so the fact that pineapples have property P does not provide any evidence for whether or not raspberries have property P. Without additional information, we cannot make any assumptions about whether or not raspberries have property P.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
39,Specific,True,objects,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Blackberries have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': ""Answer: 50. It's possible that raspberries have the same property as blackberries, but we don't have enough information to know for sure.""}, {'role': 'user', 'content': 'Argument A:\nFact - Pineapples have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': ""Answer: 0. Just because pineapples have property P doesn't mean that raspberries do as well. There's no clear connection between the two fruits.""}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
